timestamp,outcome,username_matched,similarity_score,det_score,reason,ip
2026-03-31 04:37:16,GRANTED,Aalekh Raghuvanshi,0.743,0.7632,,
2026-03-31 04:37:38,GRANTED,Aalekh Raghuvanshi,0.7053,0.7787,,
2026-03-31 04:38:00,DENIED_MISMATCH,Aalekh Raghuvanshi,0.6284,0.8603,Score 62.8% below threshold 70%,
2026-03-31 04:38:15,DENIED_MISMATCH,Aalekh Raghuvanshi,0.62,0.8268,Score 62.0% below threshold 70%,
2026-03-31 04:38:33,DENIED_MISMATCH,Aalekh Raghuvanshi,0.7087,0.8085,Score 70.9% below threshold 72%,
2026-03-31 04:38:42,GRANTED,Aalekh Raghuvanshi,0.7703,0.8,,
2026-03-31 04:38:56,DENIED_MISMATCH,Aalekh Raghuvanshi,0.7076,0.7192,Score 70.8% below threshold 72%,
2026-03-31 04:39:05,GRANTED,Aalekh Raghuvanshi,0.7843,0.8163,,
2026-04-01 11:27:51,GRANTED,Aalekh Raghuvanshi,0.7969,0.7838,,
2026-04-01 11:28:15,GRANTED,Aalekh Raghuvanshi,0.7919,0.8751,,
2026-04-01 11:28:39,DENIED_MISMATCH,Aalekh Raghuvanshi,0.7016,0.8498,Score 70.2% below threshold 75%,
2026-04-01 11:28:45,DENIED_MISMATCH,Aalekh Raghuvanshi,0.6631,0.79,Score 66.3% below threshold 75%,
2026-04-01 11:28:57,DENIED_MISMATCH,Aalekh Raghuvanshi,0.6952,0.8763,Score 69.5% below threshold 75%,
2026-04-01 11:29:10,DENIED_MISMATCH,Aalekh Raghuvanshi,0.7121,0.7752,Score 71.2% below threshold 75%,
2026-04-01 11:31:19,GRANTED,Aalekh Raghuvanshi,0.8066,0.8925,,
2026-04-01 11:35:28,GRANTED,Aalekh Raghuvanshi,0.774,0.874,,
2026-04-01 11:43:44,GRANTED,Aalekh Raghuvanshi,0.8045,0.8081,,
2026-04-01 11:48:14,GRANTED,Aalekh Raghuvanshi,0.7789,0.8111,,
2026-04-01 17:06:14,DENIED_MISMATCH,Aalekh Raghuvanshi,0.6364,0.8361,Score 63.6% below threshold 75%,
2026-04-01 17:18:19,DENIED_MISMATCH,Aalekh Raghuvanshi,0.0763,0.8593,Score 7.6% below threshold 75%,
2026-04-01 17:18:27,DENIED_MISMATCH,Aalekh Raghuvanshi,0.6881,0.8549,Score 68.8% below threshold 75%,
2026-04-01 17:18:32,GRANTED,Aalekh Raghuvanshi,0.7551,0.8946,,
2026-04-07 19:01:52,GRANTED,Aalekh Raghuvanshi,0.7953,0.8245,,
2026-04-07 19:04:07,DENIED_MISMATCH,Aalekh Raghuvanshi,0.0149,0.8597,Score 1.5% below threshold 75%,
2026-04-07 19:04:13,DENIED_MISMATCH,Aalekh Raghuvanshi,0.068,0.8668,Score 6.8% below threshold 75%,
2026-04-07 19:04:37,GRANTED,Hemant Kumar,0.8454,0.8583,,
2026-04-07 19:05:15,DENIED_MISMATCH,Hemant Kumar,0.704,0.8533,Score 70.4% below threshold 75%,
2026-04-07 19:05:35,DENIED_MISMATCH,Hemant Kumar,0.5965,0.8506,Score 59.7% below threshold 75%,
2026-04-07 19:05:56,DENIED_MISMATCH,Hemant Kumar,0.6815,0.8989,Score 68.2% below threshold 75%,
2026-04-07 19:06:05,DENIED_MISMATCH,Hemant Kumar,0.7118,0.8356,Score 71.2% below threshold 75%,
2026-04-07 19:06:47,DENIED_MISMATCH,Hemant Kumar,0.6118,0.8838,Score 61.2% below threshold 75%,
2026-04-07 19:06:58,DENIED_MISMATCH,Hemant Kumar,0.6745,0.8205,Score 67.5% below threshold 75%,
2026-04-07 19:07:17,DENIED_MISMATCH,Aalekh Raghuvanshi,0.6499,0.8155,Score 65.0% below threshold 75%,
2026-04-07 21:31:52,GRANTED,Aalekh Raghuvanshi,0.779,0.8461,,
2026-04-07 21:32:22,DENIED_MISMATCH,Aalekh Raghuvanshi,0.666,0.7749,Score 66.6% below threshold 75%,
2026-04-07 21:34:46,GRANTED,Hemant Kumar,0.7161,0.7576,,
2026-04-07 21:34:59,GRANTED,Hemant Kumar,0.7627,0.7828,,
2026-04-07 21:45:44,GRANTED,Aalekh Raghuvanshi,0.7513,0.8527,,
2026-04-07 21:45:50,GRANTED,Aalekh Raghuvanshi,0.7958,0.8715,,
2026-04-07 22:01:07,GRANTED,Aalekh Raghuvanshi,0.7874,0.8471,,
2026-04-07 22:01:14,GRANTED,Aalekh Raghuvanshi,0.7976,0.8396,,
2026-04-07 22:18:55,GRANTED,Aalekh Raghuvanshi,0.7903,0.7698,,
2026-04-07 22:19:06,DENIED_TIMEOUT,,0.0,0.0,No blink detected within 6 seconds; returned to homepage,
2026-04-07 22:19:11,GRANTED,Aalekh Raghuvanshi,0.7546,0.7954,,
